County,Public_Secondary_Schools,Private_Secondary_Schools,Total_Secondary_Schools
BARINGO,176,7,183
BOMET,286,13,299
BUNGOMA,367,29,396
BUSIA,162,7,169
ELGEYO-MARAKWET,128,2,130
EMBU,196,13,209
GARISSA,85,33,118
HOMA BAY,329,23,352
ISIOLO,32,3,35
KAJIADO,92,73,165
KAKAMEGA,425,28,453
KERICHO,241,11,252
KIAMBU,290,99,389
KILIFI,159,41,200
KIRINYAGA,158,15,173
KISII,359,20,379
KISUMU,230,20,250
KITUI,443,12,455
KWALE,91,10,101
LAIKIPIA,120,20,140
LAMU,27,4,31
MACHAKOS,368,83,451
MAKUENI,390,17,407
MANDERA,57,8,65
MARSABIT,42,6,48
MERU,388,22,410
MIGORI,283,33,316
MOMBASA,50,79,129
MURANGA,313,33,346
NAIROBI,101,206,307
NAKURU,363,149,512
NANDI,239,9,248
NAROK,160,17,177
NYAMIRA,190,4,194
NYANDARUA,173,31,204
NYERI,221,17,238
SAMBURU,44,8,52
SIAYA,242,1,243
TAITA-TAVETA,87,7,94
TANA RIVER,33,2,35
THARAKA-NITHI,151,9,160
TRANS NZOIA,240,14,254
TURKANA,57,4,61
UASIN GISHU,194,40,234
VIHIGA,159,3,162
WAJIR,53,3,56
