County,Public_Primary_Schools,Private_Primary_Schools,Total_Primary_Schools
BARINGO,738,108,846
BOMET,678,209,887
BUNGOMA,793,162,955
BUSIA,447,131,578
ELGEYO-MARAKWET,403,89,492
EMBU,386,133,519
GARISSA,217,105,322
HOMA BAY,870,174,1044
ISIOLO,110,44,154
KAJIADO,457,222,679
KAKAMEGA,856,217,1073
KERICHO,563,284,847
KIAMBU,456,434,890
KILIFI,559,236,795
KIRINYAGA,198,151,349
KISII,704,267,971
KISUMU,617,217,834
KITUI,1376,147,1523
KWALE,415,144,559
LAIKIPIA,292,81,373
LAMU,110,23,133
MACHAKOS,856,409,1265
MAKUENI,901,116,1017
MANDERA,297,48,345
MARSABIT,185,44,229
MERU,744,272,1016
MIGORI,639,271,910
MOMBASA,96,390,486
MURANGA,513,127,640
NAIROBI,205,645,850
NAKURU,727,289,1016
NANDI,759,168,927
NAROK,701,135,836
NYAMIRA,408,143,551
NYANDARUA,340,125,465
NYERI,388,126,514
SAMBURU,183,32,215
SIAYA,652,210,862
TAITA-TAVETA,217,61,278
TANA RIVER,177,30,207
THARAKA-NITHI,435,110,545
TRANS NZOIA,382,228,610
TURKANA,426,45,471
UASIN GISHU,490,339,829
VIHIGA,386,65,451
WAJIR,271,41,312
WEST POKOT,666,48,714
