#,Key,Name,Category,Institution Type,Location
1,AU,ALUPE UNIVERSITY,University,Public,BUSIA COUNTY
2,BUC,BOMET UNIVERSITY COLLEGE,University,Public,BOMET COUNTY
3,CU,CHUKA UNIVERSITY,University,Public,THARAKA NITHI COUNTY
4,COPUK,CO-OPERATIVE UNIVERSITY OF KENYA,University,Public,NAIROBI COUNTY
5,DKUT,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,University,Public,NYERI COUNTY
6,EU,EGERTON UNIVERSITY,University,Public,NAKURU COUNTY
7,GU,GARISSA UNIVERSITY,University,Public,GARISSA COUNTY
8,JOOUST,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,Public,SIAYA COUNTY
9,JKUAT,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,University,Public,KIAMBU COUNTY
10,KAFU,KAIMOSI FRIENDS UNIVERSITY,University,Public,VIHIGA COUNTY
11,KARU,KARATINA UNIVERSITY,University,Public,NYERI COUNTY
12,KU,KENYATTA UNIVERSITY,University,Public,NAIROBI COUNTY
13,MNUC,KENYATTA UNIVERSITY - MAMA NGINA UNIVERSITY COLLEGE,University,Public,KIAMBU COUNTY
14,KBBU,KIBABII UNIVERSITY,University,Public,BUNGOMA COUNTY
15,KYU,KIRINYAGA UNIVERSITY,University,Public,KIRINYAGA COUNTY
16,KSU,KISII UNIVERSITY,University,Public,KISII COUNTY
17,KSUC,KOITALEEL SAMOEI UNIVERSITY COLLEGE,University,Public,NANDI COUNTY
18,LU,LAIKIPIA UNIVERSITY,University,Public,LAIKIPIA COUNTY
19,MMARAU,MAASAI MARA UNIVERSITY,University,Public,NAROK COUNTY
20,MCKU,MACHAKOS UNIVERSITY,University,Public,MACHAKOS COUNTY
21,MSU,MASENO UNIVERSITY,University,Public,KISUMU COUNTY
22,MMUST,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,University,Public,KAKAMEGA COUNTY
23,MUST,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,Public,MERU COUNTY
24,MU,MOI UNIVERSITY,University,Public,UASIN GISHU COUNTY
25,MMU,MULTIMEDIA UNIVERSITY OF KENYA,University,Public,NAIROBI COUNTY
26,MUT,MURANG'A UNIVERSITY OF TECHNOLOGY,University,Public,MURANG'A COUNTY
27,NUC,NYANDARUA UNIVERSITY COLLEGE,University,Public,NYANDARUA COUNTY
28,OUK,OPEN UNIVERSITY OF KENYA,University,Public,MACHAKOS COUNTY
29,PU,PWANI UNIVERSITY,University,Public,KILIFI COUNTY
30,RNU,RONGO UNIVERSITY,University,Public,MIGORI COUNTY
31,SEKU,SOUTH EASTERN KENYA UNIVERSITY,University,Public,KITUI COUNTY
32,TTU,TAITA TAVETA UNIVERSITY,University,Public,TAITA TAVETA COUNTY
33,TUK,TECHNICAL UNIVERSITY OF KENYA,University,Public,NAIROBI COUNTY
34,TUM,TECHNICAL UNIVERSITY OF MOMBASA,University,Public,MOMBASA COUNTY
35,THRKU,THARAKA UNIVERSITY,University,Public,THARAKA NITHI COUNTY
36,TMU,TOM MBOYA UNIVERSITY,University,Public,HOMA BAY COUNTY
37,TRUC,TURKANA UNIVERSITY COLLEGE,University,Public,TURKANA COUNTY
38,UOE,UNIVERSITY OF ELDORET,University,Public,UASIN GISHU COUNTY
39,UOEM,UNIVERSITY OF EMBU,University,Public,EMBU COUNTY
40,UOK,UNIVERSITY OF KABIANGA,University,Public,KERICHO COUNTY
41,UON,UNIVERSITY OF NAIROBI,University,Public,NAIROBI COUNTY
