County/ Sub-County,Total*,Pre-Primary,Primary,Secondary,Technical and Vocational Training (TVET),University,Adult Basic Education,Madrasa/ Duksi,None,Don't Know,Not Stated
KENYA,"36,212,477","1,921,980","18,028,318","8,881,449","2,557,553","1,252,716","16,802",652,"3,378,876","115,094","59,037"
Rural,"24,039,655","1,473,757","13,457,699","5,048,675","1,104,449","404,498","13,841",236,"2,432,169","68,402","35,929"
Urban,"12,172,822","448,223","4,570,619","3,832,774","1,453,104","848,218","2,961",416,"946,707","46,692","23,108"
Male,"18,127,920","966,824","8,826,421","4,526,657","1,248,894","733,175","8,812",349,"1,722,260","62,115","32,413"
Female,"18,083,556","955,104","9,201,398","4,354,544","1,308,604","519,498","7,988",302,"1,656,528","52,973","26,617"
Intersex,"1,001",52,499,248,55,43,2,1,88,6,7
MOMBASA,"990,259","55,316","415,805","281,897","101,951","39,864",419,78,"88,138","5,034","1,757"
Male,"507,180","27,062","204,322","153,058","51,168","23,574",203,36,"44,263","2,546",948
Female,"483,066","28,254","211,476","128,837","50,782","16,287",216,42,"43,875","2,488",809
CHANGAMWE,"113,346","3,983","46,496","36,952","13,007","3,434",21,3,"8,913",367,170
Male,"59,561","2,038","23,169","20,311","7,084","2,158",12,2,"4,474",211,102
Female,"53,785","1,945","23,327","16,641","5,923","1,276",9,1,"4,439",156,68
JOMVU,"135,585","8,507","59,788","38,086","12,322","3,483",48,3,"12,923",300,125
Male,"70,085","4,168","29,621","20,714","6,540","2,240",30,1,"6,515",184,72
Female,"65,497","4,339","30,165","17,372","5,781","1,243",18,2,"6,408",116,53
KISAUNI,"236,303","13,434","103,042","61,686","25,238","8,489",90,12,"22,877",941,494
Male,"120,288","6,613","50,944","32,834","12,401","5,102",41,5,"11,591",491,266
Female,"116,013","6,821","52,097","28,852","12,837","3,386",49,7,"11,286",450,228
LIKONI,"203,522","13,600","90,935","58,372","15,612","3,843",137,20,"20,164",547,292
Male,"105,103","6,503","44,530","32,698","8,323","2,498",66,10,"10,041",293,141
Female,"98,417","7,097","46,404","25,673","7,289","1,345",71,10,"10,123",254,151
MVITA,"119,741","4,434","44,619","35,004","14,936","9,442",66,32,"8,712","2,162",334
Male,"59,338","2,107","20,928","18,646","6,850","5,258",30,13,"4,320","1,001",185
Female,"60,402","2,327","23,690","16,358","8,086","4,184",36,19,"4,392","1,161",149
NYALI,"181,762","11,358","70,925","51,797","20,836","11,173",57,8,"14,549",717,342
Male,"92,805","5,633","35,130","27,855","9,970","6,318",24,5,"7,322",366,182
Female,"88,952","5,725","35,793","23,941","10,866","4,853",33,3,"7,227",351,160
KWALE,"585,770","42,445","342,513","84,543","22,142","6,463",332,39,"84,380","1,871","1,042"
Male,"304,149","22,028","173,915","47,246","11,630","4,174",172,26,"43,305","1,045",608
Female,"281,610","20,414","168,593","37,297","10,511","2,289",160,13,"41,073",826,434
KINANGO,"58,568","4,621","36,161","5,334","1,449",360,44,,"10,417",140,42
Male,"30,470","2,459","18,420","3,006",858,257,19,,"5,352",75,24
Female,"28,097","2,161","17,741","2,328",591,103,25,,"5,065",65,18
