Serial_No,School_Code,School_Name,Category,Type,Cluster
2,01100004,BURA GIRLS,National,Girls,C1
3,03100001,MAMA NGINA GIRLS,National,Girls,C1
4,04100002,RIBE BOYS,National,Boys,C1
5,08200007,KAGUMO HIGH,National,Boys,C1
6,10200008,MURANGA HIGH,National,Boys,C1
7,12300001,MACHAKOS BOYS,National,Boys,C1
8,13300005,MUTHALE GIRLS,National,Girls,C1
9,14300006,MOI HIGH MBIRURI,National,Boys,C1
10,15300002,MERU SCHOOL,National,Boys,C1
11,18300003,MAKUENI BOYS,National,Boys,C1
12,19300004,CHOGORIA GIRLS,National,Girls,C1
13,20400006,PANGANI GIRLS,National,Girls,C1
14,23500003,ST BRIGIDS KIMININI,National,Girls,C1
15,24500004,ST.THERESA'S TARTAR GIRLS SECONDARY SCHOOL,National,Girls,C1
16,28500005,KIPSIGIS GIRLS' HIGH SCHOOL,National,Girls,C1
17,29500006,KAPSABET BOYS,National,Boys,C1
18,31500011,MOI GIRLS ISINYA,National,Girls,C1
19,34500010,ST PATRICK ITEN,National,Boys,C1
20,36600002,LUGULU GIRLS,National,Girls,C1
21,36600004,FRIENDS KAMUSINGA,National,Boys,C1
22,37600001,KAKAMEGA SCHOOL,National,Boys,C1
23,38600003,BUNYORE GIRLS,National,Girls,C1
24,40700002,KISII HIGH,National,Boys,C1
25,40700003,NYABURURU GIRLS,National,Girls,C1
27,42700005,MARANDA HIGH,National,Boys,C1
28,44700006,KANGA HIGH,National,Boys,C1
29,45800001,GARISSA HIGH,National,Boys,C1
31,05100009,HOLA BOYS SECONDARY SCHOOL,National,Boys,C2
32,05100010,NGAO GIRLS SECONDARY SCHOOL,National,Girls,C2
33,06100011,LAMU GIRLS SECONDARY SCHOOL,National,Girls,C2
34,06100012,MPEKETONI SECONDARY SCHOOL,National,Boys,C2
35,07200014,NYANDARUA HIGH SCHOOL,National,Mixed,C2
36,12300013,KATHIANI GIRLS SCHOOL,National,Girls,C2
37,16300014,MOYALE SECONDARY SCHOOL,National,Boys,C2
38,17300015,GARBATULA HIGH SCHOOL,National,Boys,C2
39,18300016,MBOONI GIRLS,National,Girls,C2
40,21500021,TURKANA GIRLS' SECONDARY SCHOOL,National,Girls,C2
41,22500024,KISIMA GIRLS HIGH SCHOOL,National,Girls,C2
42,24500022,CHEWOYET HIGH SCHOOL,National,Boys,C2
43,25500023,TENWEK HIGH SCHOOL,National,Boys,C2
44,28500006,KABIANGA HIGH SCHOOL,National,Boys,C2
45,29500025,ST. JOSEPH'S GIRLS - CHEPTERIT,National,Girls,C2
46,30500021,NANYUKI HIGH SCHOOL,National,Boys,C2
47,31500026,OLOOLAISER HIGH SCHOOL,National,Boys,C2
48,35600008,S.A. KOLANYA GIRLS SECONDARY SCHOOL,National,Girls,C2
49,43700012,SIRONGA GIRLS HIGH SCHOOL,National,Girls,C2
50,44700011,MOI NYABOHANSE GIRLS HIGH SCHOOL,National,Girls,C2
