University_Name,County,Type
University of Nairobi,NAIROBI,Public
Kenyatta University,NAIROBI,Public
Jomo Kenyatta University of Agriculture and Technology,KIAMBU,Public
Technical University of Kenya,NAIROBI,Public
Multimedia University of Kenya,NAIROBI,Public
Co-operative University of Kenya,NAIROBI,Public
Strathmore University,NAIROBI,Private
United States International University-Africa,NAIROBI,Private
Catholic University of Eastern Africa,NAIROBI,Private
Africa International University,NAIROBI,Private
Pan Africa Christian University,NAIROBI,Private
Aga Khan University,NAIROBI,Private
KCA University,NAIROBI,Private
Adventist University of Africa,NAIROBI,Private
Kiriri Women's University of Science and Technology,NAIROBI,Private
KAG EAST University,NAIROBI,Private
Management University of Africa,NAIROBI,Private
Pioneer International University,NAIROBI,Private
International Leadership University,NAIROBI,Private
RAF International University,NAIROBI,Private
AMREF International University,NAIROBI,Private
Tangaza University,NAIROBI,Private
Islamic University of Kenya,NAIROBI,Private
National Defence University-Kenya,NAIROBI,Public
National Intelligence Research University,NAIROBI,Public
Open University of Kenya,NAIROBI,Public
Hekima University College,NAIROBI,Private
Marist International University College,NAIROBI,Private
Mount Kenya University,KIAMBU,Private
St. Paul's University,KIAMBU,Private
Presbyterian University of East Africa,KIAMBU,Private
Zetech University,KIAMBU,Private
GRETSA University,KIAMBU,Private
Riara University,KIAMBU,Private
Mama Ngina University College,KIAMBU,Public
Egerton University,NAKURU,Public
Kabarak University,NAKURU,Private
Moi University,UASIN GISHU,Public
University of Eldoret,UASIN GISHU,Public
Technical University of Mombasa,MOMBASA,Public
Pwani University,KILIFI,Public
Chuka University,THARAKA-NITHI,Public
Tharaka University,THARAKA-NITHI,Public
Dedan Kimathi University of Technology,NYERI,Public
Karatina University,NYERI,Public
Garissa University,GARISSA,Public
Jaramogi Oginga Odinga University of Science and Technology,SIAYA,Public
Kibabii University,BUNGOMA,Public
Kirinyaga University,KIRINYAGA,Public
Kisii University,KISII,Public
Laikipia University,LAIKIPIA,Public
Machakos University,MACHAKOS,Public
Maseno University,KISUMU,Public
Maasai Mara University,NAROK,Public
Masinde Muliro University of Science and Technology,KAKAMEGA,Public
Meru University of Science and Technology,MERU,Public
Murang'a University of Technology,MURANGA,Public
University of Embu,EMBU,Public
University of Kabianga,KERICHO,Public
Rongo University,MIGORI,Public
South Eastern Kenya University,KITUI,Public
Taita Taveta University,TAITA-TAVETA,Public
Tom Mboya University,HOMA BAY,Public
Alupe University,BUSIA,Public
Turkana University College,TURKANA,Public
Bomet University College,BOMET,Public
Koitaleel Samoei University College,NANDI,Public
Daystar University,MACHAKOS,Private
Africa Nazarene University,KAJIADO,Private
University of Eastern Africa Baraton,NANDI,Private
Kenya Methodist University,MERU,Private
Kenya Highlands Evangelical University,KERICHO,Private
Great Lakes University of Kisumu,KISUMU,Private
The East African University,KAJIADO,Private
Lukenya University,MACHAKOS,Private
Umma University,KAJIADO,Private
Scott Christian University,MACHAKOS,Private
Uzima University,KISUMU,Private
Kenya Advanced Institute of Science and Technology,MACHAKOS,Public
Kaimosi Friends University College,VIHIGA,Private
