County Name,Sub County Name,Institution Name
Baringo,BARINGO CENTRAL,AIC VISA OSHWAL
Baringo,BARINGO CENTRAL,BAKWANIN
Baringo,BARINGO CENTRAL,BEKIBON
Baringo,BARINGO CENTRAL,BOKORIN
Baringo,BARINGO CENTRAL,BOROWONIN
Baringo,BARINGO CENTRAL,BOSIN
Baringo,BARINGO CENTRAL,BUIWON
Baringo,BARINGO CENTRAL,Chebunyur Primary
Baringo,BARINGO CENTRAL,CHEPLONGON
Baringo,BARINGO CENTRAL,CHEPLONGON
Baringo,BARINGO CENTRAL,CHESONGO
Baringo,BARINGO CENTRAL,EITUI
Baringo,BARINGO CENTRAL,EMOM
Baringo,BARINGO CENTRAL,ERON
Baringo,BARINGO CENTRAL,ILLIAGAT
Baringo,BARINGO CENTRAL,KABARBARMA
Baringo,BARINGO CENTRAL,KABARNET DEAF BLIND SP
Baringo,BARINGO CENTRAL,KABASIS D B
Baringo,BARINGO CENTRAL,KABIRMET
Baringo,BARINGO CENTRAL,KABIRMOI
Baringo,BARINGO CENTRAL,KABOCHONY
Baringo,BARINGO CENTRAL,KAISO
Baringo,BARINGO CENTRAL,KAKWANE
Baringo,BARINGO CENTRAL,KAMGOIN
Baringo,BARINGO CENTRAL,KAMUMA
Baringo,BARINGO CENTRAL,KAMWEN
Baringo,BARINGO CENTRAL,KAPCHEMON
Baringo,BARINGO CENTRAL,KAPCHEREBET
Baringo,BARINGO CENTRAL,KAPCHOMUSO
Baringo,BARINGO CENTRAL,KAPKATIT
Baringo,BARINGO CENTRAL,KAPKELELWA
Baringo,BARINGO CENTRAL,KAPKENGELEL
Baringo,BARINGO CENTRAL,KAPKIAI
Baringo,BARINGO CENTRAL,KAPKOIBAI
Baringo,BARINGO CENTRAL,KAPKOKWON PRI
Baringo,BARINGO CENTRAL,KAPKOMOI
Baringo,BARINGO CENTRAL,KAPKONY
Baringo,BARINGO CENTRAL,KAPKUT
Baringo,BARINGO CENTRAL,KAPLEL
Baringo,BARINGO CENTRAL,KAPLOP
Baringo,BARINGO CENTRAL,KAPLOTEN
Baringo,BARINGO CENTRAL,Kaprogonya Primary School
Baringo,BARINGO CENTRAL,KAPROPITA
Baringo,BARINGO CENTRAL,KAPSIGORIAN
Baringo,BARINGO CENTRAL,KAPSOGO
Baringo,BARINGO CENTRAL,KAPSOO
Baringo,BARINGO CENTRAL,KAPTALAM
Baringo,BARINGO CENTRAL,KAPTARA
Baringo,BARINGO CENTRAL,KAPTENO PRIMARY
Baringo,BARINGO CENTRAL,KAPTICH
Baringo,BARINGO CENTRAL,KAPTIEN
Baringo,BARINGO CENTRAL,KAPTIMBOR
Baringo,BARINGO CENTRAL,KAPTOROKWO
Baringo,BARINGO CENTRAL,KAPTUMO
Baringo,BARINGO CENTRAL,KAPYEMIT
Baringo,BARINGO CENTRAL,KASERET PRIMARY SCHOOL
Baringo,BARINGO CENTRAL,KASORE
Baringo,BARINGO CENTRAL,Katkamuma Primary
Baringo,BARINGO CENTRAL,KATUNOI
Baringo,BARINGO CENTRAL,KESETAN
Baringo,BARINGO CENTRAL,KETINDUI
Baringo,BARINGO CENTRAL,KEWAMOI
Baringo,BARINGO CENTRAL,KIBOI
Baringo,BARINGO CENTRAL,KIBOINO
Baringo,BARINGO CENTRAL,KIMAGOK
Baringo,BARINGO CENTRAL,KIMOSO
Baringo,BARINGO CENTRAL,KIMOTANY
Baringo,BARINGO CENTRAL,KIPKAECH B D
Baringo,BARINGO CENTRAL,KIPKUTUNY
Baringo,BARINGO CENTRAL,KIPLABAL
Baringo,BARINGO CENTRAL,KIPONJOS
Baringo,BARINGO CENTRAL,KIPSOIT
Baringo,BARINGO CENTRAL,KIPTILIT
Baringo,BARINGO CENTRAL,KISOK
Baringo,BARINGO CENTRAL,KISONEI
Baringo,BARINGO CENTRAL,KITUMBEI
Baringo,BARINGO CENTRAL,KITURO D/B
Baringo,BARINGO CENTRAL,Koisomo Primary school
Baringo,BARINGO CENTRAL,KOKORWONIN
